Subject,words,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
3,cheese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,home,3,11,10,3,0,5,3,10,6,9,10,7,0,12,5,5,11,11,4,11,8,6,7,0,11,8,10,6,0,0,0,12,10,5,5,11,9,4,8,13,12,9,3,5,10,7,6,4,8,7,4,10,7,3,3,10,7,6,11,5,5,10,9,5,9,11,7,13,6,9,13,0,3,9,7,2,9,10,1,8,10,6,10,0,4,9,9,5,0,10,13,0,8,0,10,13,13,12,7,5
5,white,0,13,12,0,0,0,13,9,0,0,0,12,0,7,14,0,0,12,0,0,0,0,0,0,14,0,13,0,0,0,0,0,0,0,0,13,0,0,13,0,0,0,0,0,8,15,12,0,0,10,0,0,0,0,0,0,12,0,13,12,0,11,0,1,12,0,0,0,10,0,0,0,0,0,0,4,13,0,6,9,0,7,0,0,10,6,10,0,0,0,0,0,2,2,0,12,0,0,0,12
6,cabin,6,8,5,7,1,8,6,4,12,3,8,5,9,3,8,10,10,6,8,10,5,8,8,3,12,5,4,7,10,5,10,10,6,7,10,6,4,9,10,9,4,6,5,6,2,3,9,6,3,2,11,1,3,6,6,6,1,7,7,6,7,4,11,7,7,5,2,11,1,8,4,5,4,7,4,7,10,11,7,5,3,10,4,6,9,7,5,6,10,5,4,9,10,3,4,9,10,10,4,8
7,small,7,10,6,10,2,6,9,12,8,11,9,6,10,6,11,12,12,8,5,12,10,11,11,4,6,3,11,8,11,0,0,8,8,4,12,5,5,12,12,10,9,12,1,8,12,10,10,11,6,9,12,3,10,7,11,1,10,11,10,7,11,5,12,2,10,12,9,10,8,10,7,8,6,10,9,5,11,13,8,10,11,8,6,10,13,13,6,11,11,2,5,10,7,11,6,10,12,11,8,9
8,door,12,12,9,6,3,10,12,11,9,12,5,9,6,11,12,11,13,9,11,0,11,0,10,0,13,0,12,12,12,0,0,14,12,10,0,12,10,7,11,12,7,11,9,7,5,12,13,9,12,8,0,12,9,12,10,9,11,9,9,9,9,9,13,0,13,13,10,12,11,7,11,0,7,4,10,9,12,12,9,13,13,11,7,8,14,12,7,10,12,11,12,11,11,8,11,11,11,8,9,7
9,fence,9,6,8,8,8,9,8,8,7,10,6,10,7,8,10,7,8,10,9,9,9,9,9,10,10,9,9,10,5,7,9,5,11,8,7,9,11,8,9,11,5,8,8,9,6,11,8,10,10,5,6,7,6,9,9,8,8,10,8,11,8,8,8,11,11,9,4,8,9,2,9,7,8,5,11,10,7,9,11,12,6,9,9,7,12,10,8,8,7,9,10,7,9,9,9,6,9,6,6,10
10,vines,11,4,0,11,11,0,11,13,11,5,0,0,11,10,13,9,6,4,10,8,4,0,0,9,1,4,3,0,7,8,6,9,2,0,9,10,0,11,2,5,10,10,13,0,13,14,0,13,11,13,10,13,0,11,13,0,0,0,12,13,12,0,6,12,6,6,0,5,12,0,10,9,12,0,12,12,5,5,12,11,12,0,11,9,0,2,12,4,6,12,8,8,13,10,8,8,6,7,11,0
11,woods,8,3,2,9,9,7,7,6,10,4,7,4,8,9,9,8,4,5,7,7,3,10,4,7,2,6,6,9,4,4,5,4,3,9,6,7,6,10,3,6,3,5,7,10,9,5,7,7,9,11,8,6,4,8,7,5,9,3,1,10,10,6,7,8,3,4,1,6,5,5,8,6,9,6,2,11,6,6,10,2,1,1,8,5,11,1,11,9,8,4,6,6,12,6,5,5,5,2,10,11
12,ivy,13,0,0,0,12,0,14,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,11,9,10,0,0,9,10,8,6,0,0,8,14,0,13,14,7,0,0,12,0,14,13,11,0,0,0,9,9,0,0,14,0,0,0,0,0,13,0,10,14,0,7,0,7,0,0,12,11,0,0,0,13,0,7,0,14,2,0,13,0,0,0,14,0,9,6,0,12,0,13,0,0,7,0,13,0
13,roses,10,7,0,12,10,0,10,5,4,6,0,11,3,0,1,3,5,0,0,4,0,2,0,8,4,11,7,3,8,9,4,7,4,0,11,4,0,6,1,1,11,1,11,0,11,6,2,12,13,12,7,5,0,10,12,0,5,2,5,0,6,0,5,13,5,2,11,4,0,0,5,10,11,0,0,14,4,4,13,6,8,0,12,0,5,3,13,0,4,13,3,4,6,12,0,4,4,3,12,0
14,cozy,5,5,4,1,6,2,4,3,3,7,1,3,1,2,4,1,2,1,3,3,7,3,1,5,5,12,5,2,6,2,3,2,5,3,2,2,2,2,6,4,8,2,10,4,4,1,1,8,5,3,1,11,1,5,8,2,4,4,6,1,2,2,3,9,4,10,5,3,4,1,2,2,10,8,3,8,3,3,3,4,9,2,1,4,3,11,2,1,5,7,2,3,4,7,3,3,3,1,3,2
15,hut,2,1,1,2,4,1,2,1,2,2,3,1,2,4,3,4,3,2,2,2,2,4,2,1,7,2,2,5,3,3,1,3,1,1,4,1,3,1,4,2,1,3,2,1,3,2,4,1,1,1,2,2,2,1,2,3,3,5,3,3,1,3,1,6,2,3,3,1,3,3,3,3,2,2,5,6,1,2,4,1,5,3,3,2,1,4,3,2,2,3,7,1,1,4,2,1,1,4,2,1
othr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,whiskey,6,5,6,4,5,9,6,1,5,2,9,6,1,3,4,7,6,3,6,3,2,7,5,2,1,7,2,6,2,2,2,8,6,6,4,1,7,6,6,3,9,6,8,10,6,4,7,8,4,4,3,4,8,6,2,8,8,6,3,9,6,8,7,7,4,5,3,3,7,6,6,5,6,5,6,5,9,3,5,4,6,1,2,3,8,8,7,5,3,6,5,4,2,2,10,5,6,7,6,6
1,drink,4,4,3,2,1,6,3,4,2,5,3,1,6,6,5,3,3,5,4,5,5,4,6,5,6,1,6,5,4,1,4,2,3,3,2,6,9,1,3,2,6,2,5,5,4,6,5,4,5,7,5,5,4,7,5,3,3,2,4,5,2,4,5,5,7,3,7,2,6,1,2,2,2,3,2,3,5,5,1,2,2,2,3,2,6,6,1,2,6,4,6,5,6,6,6,4,3,1,2,5
2,drunk,5,7,5,7,2,7,5,5,3,6,4,4,9,7,6,8,5,2,5,6,6,5,7,7,5,3,4,4,6,3,6,3,4,4,1,4,6,2,4,5,5,4,6,6,2,7,8,5,6,5,6,2,5,8,6,5,6,3,5,4,3,2,6,8,6,4,4,6,5,3,3,3,3,4,3,2,7,6,2,3,3,7,6,4,5,4,2,4,7,5,7,6,7,4,5,7,4,5,3,4
3,beer,3,3,2,1,3,5,2,2,1,3,7,3,4,5,7,5,4,6,2,7,3,6,4,6,2,2,3,2,3,5,5,4,2,5,3,5,5,3,2,6,8,1,3,2,3,5,9,3,7,8,4,3,2,3,3,2,5,1,6,8,4,3,2,6,2,2,5,5,3,4,4,1,4,1,1,1,4,4,4,1,1,3,5,6,3,1,3,3,1,7,3,2,3,1,4,2,2,3,4,2
4,liquor,1,6,4,3,4,8,4,3,4,4,5,5,5,4,2,6,2,4,3,8,4,3,9,4,4,4,5,3,7,4,3,5,5,2,5,3,8,4,5,4,4,3,4,3,5,3,6,6,3,6,7,7,3,4,4,1,4,4,7,6,5,5,4,4,5,6,9,4,2,2,5,4,5,2,4,4,6,7,3,5,4,4,8,5,4,3,4,1,5,1,4,3,5,3,7,3,5,4,5,3
5,gin,0,1,0,0,0,0,10,9,0,7,2,7,0,0,0,0,0,0,7,11,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,7,7,10,2,3,9,0,0,10,0,0,0,0,0,0,9,0,0,0,0,9,10,0,0,0,0,0,10,0,0,10,0,0,0,0,10,0,0,0,0,10,0,9,0,0,0,0,3,10,0,0,0,9,0,0,0,0,0
6,bottles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,alchohol,9,10,9,9,7,10,9,10,7,9,11,9,10,11,9,10,10,7,10,10,10,10,11,3,9,9,9,10,9,9,8,10,9,10,9,9,10,9,10,9,11,9,9,9,9,11,11,12,10,10,9,9,9,5,9,4,10,10,10,10,7,9,11,9,9,9,10,7,9,9,10,9,8,9,8,7,10,9,9,9,9,6,11,10,10,9,6,9,8,8,8,10,8,7,11,10,10,9,9,10
8,rye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,glass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,wine,7,2,7,5,6,2,7,6,6,1,6,2,3,8,8,2,7,1,8,4,7,9,2,8,3,5,1,7,5,6,7,6,7,7,7,2,3,5,7,7,7,7,1,4,1,8,2,7,8,3,1,8,6,10,8,6,2,5,8,2,1,6,3,3,3,7,6,1,4,5,7,6,7,6,7,8,2,1,6,6,7,5,7,7,1,5,5,6,2,2,2,8,4,5,8,6,7,8,8,7
11,rum,2,9,1,6,9,3,1,7,8,8,10,8,7,10,1,9,9,8,11,9,8,8,3,10,8,6,7,8,8,8,9,7,1,9,8,8,2,8,8,1,3,8,2,8,8,9,4,11,2,2,8,1,7,2,1,7,9,7,2,3,9,10,10,1,10,1,2,9,1,8,8,7,1,7,9,9,3,2,7,7,5,8,4,8,2,2,8,8,9,10,1,7,10,9,2,8,8,6,10,9
12,bourbon,8,8,8,8,8,4,8,8,9,10,8,10,8,9,3,4,8,9,9,2,9,2,8,9,7,8,8,9,1,7,10,9,8,8,6,7,4,7,9,8,10,5,10,11,7,10,10,10,9,9,2,6,10,9,7,9,7,8,9,7,8,7,8,2,8,8,8,8,8,7,9,8,9,8,5,6,8,8,8,8,8,9,9,9,7,7,9,7,4,9,9,9,9,8,3,9,9,2,7,8
13,evil,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,bar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,scotch,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,2,0,0,1,0,0,1,2,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0
othr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,swift,5,0,0,7,5,9,9,7,8,8,8,8,1,0,4,8,7,6,8,1,8,0,8,8,9,7,8,8,5,8,8,4,8,3,5,9,8,8,6,6,8,5,6,10,7,8,0,8,2,0,7,3,4,8,8,4,0,9,7,3,8,8,0,0,0,8,7,9,7,6,2,9,8,8,8,8,8,0,8,8,0,8,8,5,5,0,8,9,0,2,7,0,7,8,10,7,3,9,2,5
1,fast,6,3,3,4,6,7,5,8,6,2,4,6,4,5,5,6,5,7,4,6,4,4,5,6,4,5,6,6,6,5,6,5,6,5,6,7,3,7,4,7,6,7,3,5,3,6,6,5,1,6,5,6,7,5,5,5,1,6,3,6,3,6,4,6,3,6,5,7,4,4,9,7,4,6,4,5,6,5,6,6,6,2,7,6,3,3,1,6,3,7,4,5,2,2,7,5,6,4,6,6
2,slow,7,5,5,5,7,8,6,9,7,3,5,7,6,6,7,7,6,8,5,7,3,5,6,7,5,6,7,7,7,7,7,6,7,6,7,8,5,6,5,8,7,6,4,8,4,7,7,6,3,4,4,7,8,7,7,6,2,8,4,7,4,7,6,7,2,7,4,8,3,5,10,6,6,7,5,7,7,6,7,7,7,4,6,7,4,1,2,8,4,6,5,6,3,3,9,4,7,6,7,8
3,river,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Jonathan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,current,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,rapid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
7,stream,8,0,0,8,8,10,8,6,9,9,9,9,3,0,0,9,8,9,9,8,9,0,0,9,8,8,9,9,9,9,9,8,9,9,11,10,9,10,0,10,10,8,7,9,0,9,0,9,8,0,8,0,0,9,9,7,0,10,9,0,9,9,0,0,0,0,0,10,0,7,6,10,9,9,9,9,9,0,9,9,0,9,9,8,8,0,9,10,0,9,8,0,0,9,11,8,0,10,9,9
8,water,9,0,0,9,9,11,10,10,10,0,0,10,9,0,0,0,9,10,10,9,10,0,0,10,10,9,10,0,10,10,10,9,10,10,12,11,0,0,0,11,11,9,9,11,0,0,0,10,9,0,10,0,0,10,10,8,0,11,11,0,10,10,0,0,0,0,0,11,0,8,0,0,10,10,0,0,0,0,10,10,0,0,10,9,9,0,0,11,0,0,9,0,0,10,12,9,0,11,10,0
9,quick,4,6,2,3,3,5,7,5,5,4,6,4,5,3,2,4,2,5,6,3,7,2,3,3,7,2,5,3,3,6,1,3,5,7,4,6,4,1,7,3,4,3,2,7,5,4,4,4,4,7,6,5,3,2,3,1,3,3,2,5,5,4,3,3,4,3,1,5,2,3,4,5,5,3,7,2,4,2,5,4,3,7,4,4,1,2,3,5,2,4,6,2,4,6,8,6,4,5,8,4
10,Gulliver,0,2,0,0,0,2,0,0,2,0,0,1,0,2,6,1,0,2,2,2,2,1,2,2,2,0,0,2,0,2,4,0,0,2,3,4,0,2,2,2,3,0,0,0,8,2,0,0,5,3,9,1,0,0,2,0,0,4,0,8,2,1,5,0,0,2,2,2,0,0,8,0,1,1,1,3,2,0,2,2,1,0,0,0,0,0,0,1,0,3,0,0,0,7,3,0,2,8,3,2
11,run,3,4,4,6,1,6,3,4,4,5,7,5,7,4,8,5,3,3,7,5,5,6,4,5,3,4,4,1,8,4,5,7,3,4,9,5,6,3,9,5,2,4,8,6,2,3,5,7,7,8,1,4,6,6,6,2,4,5,5,4,6,5,7,4,1,4,6,3,6,1,7,8,2,5,6,6,5,3,3,5,4,6,5,3,2,5,4,7,5,5,2,4,5,5,4,2,5,3,5,3
12,sure,2,7,1,2,4,3,4,3,3,6,3,2,8,7,1,3,4,4,3,4,6,7,7,4,6,3,3,4,2,3,3,2,4,8,8,3,7,5,8,4,5,2,5,4,1,5,3,1,6,5,3,8,5,3,4,3,5,2,6,1,7,3,2,5,5,5,3,4,5,2,1,2,7,4,3,4,3,1,4,3,5,5,1,2,6,4,5,4,6,8,3,1,6,4,2,3,8,1,4,7
13,deer,0,0,0,0,2,4,2,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,10,2,2,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,6,1,0,5,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0
14,car,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,3,0,2,0,0,1,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,6,2,0,0,0,0,0,1,6,1,0,0,0,0
15,author,1,1,0,1,0,1,1,1,1,1,1,3,2,1,3,2,0,1,1,0,1,3,1,1,1,1,1,5,1,1,2,1,1,1,2,1,1,4,1,1,1,1,1,1,6,1,1,2,0,1,2,2,2,1,1,0,0,1,1,9,1,2,1,1,0,1,0,1,0,0,3,1,3,2,2,1,1,4,1,1,2,3,3,1,7,0,0,3,1,1,1,3,1,0,1,0,1,2,1,1
othr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,trouble,1,3,2,3,2,3,4,3,1,3,2,2,3,1,2,2,1,4,2,1,2,3,3,2,1,3,1,3,1,3,1,1,2,1,3,2,1,2,3,3,4,1,2,3,4,2,2,2,3,3,3,3,1,8,5,1,1,3,3,3,1,3,3,3,2,4,4,3,2,1,1,2,2,2,4,3,2,1,2,2,3,2,1,5,4,3,3,1,1,1,2,1,5,3,2,2,1,2,1,2
1,bad,2,5,1,4,5,5,2,4,7,2,1,4,9,4,4,5,4,2,9,5,1,4,5,5,3,4,7,6,5,1,5,2,4,4,2,4,2,3,5,5,5,3,5,5,8,8,8,8,2,7,7,8,7,6,3,7,2,4,7,5,6,4,5,6,7,5,2,4,4,9,5,3,5,6,7,5,5,2,4,3,5,4,3,8,6,5,7,5,5,6,5,6,7,9,7,5,6,1,7,4
2,shooter,0,6,0,0,9,6,6,0,0,0,10,8,12,0,6,9,0,0,12,6,0,8,8,8,5,6,12,0,9,6,6,7,7,8,0,0,0,0,6,8,0,0,8,7,0,11,0,10,5,0,10,0,8,9,0,9,5,7,9,9,0,6,0,0,10,7,0,5,6,0,0,4,0,0,8,8,6,0,0,6,7,0,2,9,0,0,0,0,0,0,8,0,10,0,9,0,0,0,8,7
3,worry,6,4,7,8,7,7,5,7,10,6,8,7,11,5,5,6,7,11,10,4,3,7,6,7,2,5,11,7,8,4,2,5,5,5,4,6,8,4,4,7,6,7,7,4,9,9,12,7,1,11,5,9,5,7,1,8,3,5,8,7,7,5,4,9,8,3,5,6,5,11,7,5,4,7,9,7,4,5,7,4,6,10,4,7,7,6,8,6,4,9,6,8,8,10,8,7,7,4,5,5
4,danger,8,7,8,9,6,9,1,6,6,1,6,5,8,7,3,8,8,8,7,7,7,6,7,6,6,7,8,9,7,5,4,6,6,6,7,7,9,5,7,6,7,2,9,6,7,7,7,9,4,8,8,7,4,5,9,6,7,6,5,6,8,7,6,7,9,6,7,7,7,7,4,6,6,4,6,2,7,6,8,8,4,6,5,6,5,8,6,10,9,7,7,7,6,8,6,8,4,6,6,6
5,sorrow,0,12,0,0,11,0,3,0,0,0,0,0,0,9,0,11,11,10,11,0,0,0,0,0,9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,9,0,0,0,0,0,0,0,10,8,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,11,0,0,0,0
6,fear,9,8,9,10,8,8,7,8,8,9,7,9,10,8,7,10,9,9,8,8,8,9,9,9,7,8,10,11,6,7,8,8,8,7,8,9,11,1,8,9,8,8,10,9,10,10,9,6,6,6,9,10,10,0,8,10,9,9,6,8,10,11,7,10,11,8,6,8,8,8,9,7,8,8,10,6,8,9,9,9,0,7,7,10,10,9,9,9,10,10,9,10,3,11,10,10,3,7,4,8
7,school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0
8,problem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,police,4,0,3,2,3,2,0,5,2,5,5,3,2,3,0,1,3,3,3,2,5,1,4,0,0,0,3,1,3,0,0,4,1,3,0,0,3,11,2,2,1,5,4,0,1,0,5,3,10,5,4,5,6,3,6,3,4,2,1,4,2,2,1,2,4,0,1,1,3,5,3,0,0,5,3,0,3,4,3,5,2,1,0,3,1,0,1,3,2,2,3,3,2,4,3,3,0,0,3,1
10,fight,7,0,4,11,4,10,0,9,4,10,9,11,4,10,0,3,2,6,4,10,6,5,1,4,8,10,9,4,10,0,0,9,9,0,10,5,10,6,0,4,10,6,3,0,3,3,10,11,7,10,6,6,11,0,10,4,8,8,4,10,9,8,10,4,1,2,11,10,9,6,6,0,7,3,5,0,0,10,5,11,0,8,6,1,2,4,11,7,7,11,4,5,4,5,4,4,2,9,0,10
11,sad,10,9,10,5,10,11,0,2,9,8,3,10,5,6,8,12,10,5,6,9,9,10,0,10,10,9,5,8,4,8,7,10,10,0,9,8,5,7,0,0,3,9,6,8,5,1,11,5,8,9,11,1,9,0,2,11,10,10,10,1,5,9,8,5,6,0,8,9,10,10,8,0,9,9,11,1,0,7,6,7,0,3,8,4,9,7,10,8,8,5,10,9,9,12,5,9,5,5,0,11
12,difficulty,11,10,0,7,0,0,0,11,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,7,10,0,0,9,11,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,10,12,0,0,0,0,0,0,2,0,0,11,0,0,0,0,10,0,11,0,5,11,0,8,0,0,0,6,0,0,0,0,0,12
13,help,3,11,6,6,0,4,0,10,5,7,0,6,6,0,9,7,6,7,5,0,10,0,0,1,11,11,4,5,0,0,0,11,11,0,6,3,6,8,0,0,11,10,0,0,6,6,3,4,0,1,0,2,3,4,7,5,11,11,0,0,4,10,11,8,5,0,9,11,11,3,0,0,3,0,0,4,0,8,10,12,0,5,9,0,8,2,4,4,3,3,0,4,0,7,0,0,8,8,0,9
14,maker,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,jail,5,2,5,1,1,1,0,1,3,4,4,1,1,2,1,4,5,1,1,3,4,2,2,3,4,2,2,2,2,2,3,3,3,2,5,1,4,9,1,1,2,4,1,1,2,5,4,1,9,4,2,4,2,2,4,2,6,1,2,2,3,1,2,1,3,1,3,2,1,2,2,1,1,1,1,0,1,3,1,1,1,9,0,2,3,0,2,2,6,4,1,2,1,2,1,1,9,3,2,3
othr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,stove,8,9,7,10,11,9,10,8,8,6,11,7,8,10,10,4,6,12,3,10,7,8,8,5,8,9,4,10,4,10,10,8,9,11,7,8,9,4,2,11,8,9,8,3,10,5,7,5,1,4,9,9,3,8,9,9,4,10,7,8,8,8,10,8,9,9,5,4,10,6,9,5,9,10,10,9,9,10,5,9,10,7,1,7,8,9,10,8,12,5,7,10,9,4,7,10,7,9,8,8
1,hot,4,4,3,2,6,3,6,5,5,10,7,3,4,6,6,8,8,7,6,7,5,7,3,8,5,5,7,5,7,5,6,3,5,6,3,4,7,6,4,5,4,4,3,5,6,7,2,8,6,9,4,4,4,5,5,5,8,5,3,4,4,2,4,4,5,7,3,8,5,3,6,8,4,4,5,5,4,6,7,5,5,5,5,2,4,4,5,4,6,7,9,5,5,9,2,6,5,5,3,6
